company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
Autodesk,SF Bay Area,250,2023-02-02,0.02,Other,https://www.bloomberg.com/news/articles/2023-02-03/autodesk-layoffs-hit-250-jobs-joining-tech-industry-peers,Post-IPO,,United States,2023-02-03
Highspot,Seattle,100,2023-02-02,0.1,Sales,https://www.geekwire.com/2023/sales-software-company-highspot-lays-off-100-employees/,Series F,644,United States,2023-02-03
Miro,SF Bay Area,119,2023-02-02,0.07,Other,https://miro.com/blog/a-message-from-our-ceo/,Series C,476,United States,2023-02-02
NCC Group,"Manchester, Non-U.S.",125,2023-02-02,0.07,Security,https://www.businesstimes.com.sg/companies-markets/british-cybersecurity-firm-ncc-group-cut-workforce-7,Post-IPO,,United Kingdom,2023-02-03
Okta,SF Bay Area,300,2023-02-02,0.05,Security,https://www.bloomberg.com/news/articles/2023-02-02/okta-to-lay-off-300-employees-citing-overhiring-execution-challenges,Post-IPO,1200,United States,2023-02-02
Eightfold AI,SF Bay Area,90,2023-02-03,0.15,HR,https://www.nytimes.com/2023/03/13/business/ai-hiring-jobs.html,Series E,396,United States,2023-03-24
Protocol Labs,SF Bay Area,89,2023-02-03,0.2,Crypto,https://www.forbes.com/sites/michaeldelcastillo/2023/02/03/andreessen-horowitz-backed-protocol-labs-fires-21-of-staff-after-raising-record-257-million/?sh=24ba1897b400&utm_campaign=socialflowForbesMainLI&utm_source=ForbesMainLinkedIn&utm_medium=social,Unknown,10,United States,2023-02-04
Lightico,"Tel Aviv, Non-U.S.",20,2023-02-05,0.25,Finance,https://www.calcalistech.com/ctechnews/article/bydwq4phj,Series B,42,Israel,2023-02-07
Dell,Austin,6650,2023-02-06,0.05,Hardware,https://www.bloomberg.com/news/articles/2023-02-06/dell-dell-lays-off-about-6-650-employees-in-latest-tech-cuts#xj4y7vzkg,Post-IPO,,United States,2023-02-06
Loggi,"Sao Paulo, Non-U.S.",300,2023-02-06,0.07,Logistics,https://www.infomoney.com.br/negocios/pela-segunda-vez-loggi-reduz-equipe-com-demissoes-em-massa/,Series F,507,Brazil,2023-02-07
Pocket Aces,"Mumbai, Non-U.S.",50,2023-02-06,0.25,Media,https://economictimes.indiatimes.com/tech/startups/pocket-aces-lays-off-over-20-of-its-workforce/articleshow/97626118.cms,Unknown,19,India,2023-02-06
eBay,SF Bay Area,500,2023-02-07,0.04,Retail,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,Post-IPO,1200,United States,2023-02-07
LearnUpon,"Dublin, Non-U.S.",27,2023-02-07,0.09,Education,https://www.independent.ie/business/technology/learnupon-to-let-27-go-as-tech-layoffs-continue-42331418.html,Private Equity,56,Ireland,2023-02-08
Openpay,"Melbourne, Non-U.S.",83,2023-02-07,1,Finance,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,Post-IPO,299,Australia,2023-02-07
Salesloft,Atlanta,100,2023-02-07,0.1,Sales,https://www.bizjournals.com/atlanta/news/2023/02/07/salesloft-lays-off-workers.amp.html,Acquired,245,United States,2023-02-08
SecureWorks,Atlanta,212,2023-02-07,0.09,Security,https://www.marketwatch.com/story/secureworks-to-cut-9-of-its-workforce-as-layoffs-could-affect-more-than-200-employees-01675779796,Post-IPO,83,United States,2023-02-07
